level,n_i,p_i,s_i
0,136265,0.1629827646,21758.000000
1,29439,0.0352111665,6110.000000
2,26133,0.0312569522,5269.000000
3,25488,0.0304854857,4512.000000
4,25776,0.0308299544,4536.000000
5,31571,0.0377611922,4746.000000
6,28907,0.0345748562,4828.000000
7,22162,0.0265073499,4694.000000
8,24304,0.0290693363,4497.000000
9,29479,0.0352590094,4518.000000
10,26683,0.0319147918,3969.000000
11,29518,0.0353056562,3468.000000
12,22861,0.0273434043,2790.000000
13,16302,0.0194983674,1714.000000
14,12402,0.0148336862,999.000000
15,4536,0.0054253830,602.000000
16,2255,0.0026971426,490.000000
17,454,0.0005430167,475.000000
18,570,0.0006817611,604.000000
19,418,0.0004999581,505.000000
20,509,0.0006088007,699.000000
21,459,0.0005489971,598.000000
22,656,0.0007846233,981.000000
23,588,0.0007032904,929.000000
24,543,0.0006494671,1000.000000
25,507,0.0006064086,1083.000000
26,418,0.0004999581,1082.000000
27,427,0.0005107228,1222.000000
28,479,0.0005729185,1414.000000
29,433,0.0005178992,1490.000000
30,481,0.0005753107,1795.000000
31,335047,0.4007403686,10484.000000
