level,n_i,p_i,s_i
0,1577,0.0018862057,1363.000000
1,11801,0.0141148468,7131.000000
2,28152,0.0336718217,8960.000000
3,40231,0.0481191766,7383.000000
4,59662,0.0713600536,6084.000000
5,37535,0.0448945662,4787.000000
6,33927,0.0405791381,4338.000000
7,34853,0.0416867009,4469.000000
8,41832,0.0500340881,4731.000000
9,36171,0.0432631239,4870.000000
10,32731,0.0391486359,4260.000000
11,34547,0.0413207028,3974.000000
12,38097,0.0455667588,3656.000000
13,33401,0.0399500042,2782.000000
14,20403,0.0244034590,1312.000000
15,6906,0.0082600739,797.000000
16,2404,0.0028753573,552.000000
17,643,0.0007690744,532.000000
18,650,0.0007774469,567.000000
19,692,0.0008276819,625.000000
20,736,0.0008803091,665.000000
21,784,0.0009377205,726.000000
22,803,0.0009604459,924.000000
23,589,0.0007044865,804.000000
24,583,0.0006973100,969.000000
25,637,0.0007618979,1099.000000
26,592,0.0007080747,1192.000000
27,768,0.0009185834,1470.000000
28,904,0.0010812492,1571.000000
29,2255,0.0026971426,2400.000000
30,5938,0.0071022761,5986.000000
31,325266,0.3890415874,3468.000000
