axis;index;value
vertical_x;234;3
vertical_x;235;2
vertical_x;236;1
vertical_x;237;1
vertical_x;238;0
vertical_x;239;2
vertical_x;240;2
vertical_x;241;4
vertical_x;242;25
vertical_x;243;25
vertical_x;244;25
vertical_x;245;25
vertical_x;246;5
vertical_x;247;3
vertical_x;248;4
vertical_x;249;6
vertical_x;250;6
vertical_x;251;7
vertical_x;252;8
vertical_x;253;11
vertical_x;254;11
vertical_x;255;9
vertical_x;256;9
vertical_x;257;7
vertical_x;258;7
vertical_x;259;7
vertical_x;260;7
vertical_x;261;7
vertical_x;262;8
vertical_x;263;0
vertical_x;264;0
vertical_x;265;0
vertical_x;266;0
vertical_x;267;0
vertical_x;268;0
vertical_x;269;0
vertical_x;270;0
vertical_x;271;0
vertical_x;272;0
vertical_x;273;0
vertical_x;274;7
vertical_x;275;10
vertical_x;276;12
vertical_x;277;14
vertical_x;278;7
vertical_x;279;4
vertical_x;280;4
vertical_x;281;4
vertical_x;282;4
vertical_x;283;4
vertical_x;284;5
vertical_x;285;25
vertical_x;286;25
vertical_x;287;25
vertical_x;288;25
vertical_x;289;6
vertical_x;290;4
vertical_x;291;4
vertical_x;292;6
vertical_x;293;4
vertical_x;294;4
vertical_x;295;6
vertical_x;296;10
vertical_x;297;14
vertical_x;298;12
vertical_x;299;8
vertical_x;300;0
vertical_x;301;0
vertical_x;302;2
vertical_x;303;2
vertical_x;304;2
vertical_x;305;4
vertical_x;306;25
vertical_x;307;25
vertical_x;308;25
vertical_x;309;25
vertical_x;310;6
vertical_x;311;4
vertical_x;312;4
vertical_x;313;3
vertical_x;314;4
vertical_x;315;6
vertical_x;316;7
vertical_x;317;12
vertical_x;318;11
vertical_x;319;9
vertical_x;320;7
vertical_x;321;0
vertical_x;322;0
vertical_x;323;1
vertical_x;324;1
vertical_x;325;2
vertical_x;326;4
vertical_x;327;6
vertical_x;328;6
vertical_x;329;5
vertical_x;330;5
vertical_x;331;5
vertical_x;332;5
vertical_x;333;5
vertical_x;334;5
vertical_x;335;8
vertical_x;336;10
vertical_x;337;9
vertical_x;338;10
vertical_x;339;10
vertical_x;340;9
vertical_x;341;11
vertical_x;342;11
vertical_x;343;8
vertical_x;344;6
vertical_x;345;4
vertical_x;346;2
vertical_x;347;1
